=== CPU UTILIZATION REPORT ===
CPU utilization: 3.44%
Cores used: 0
Cores available: 4

Running processes:

Finished processes:
proc1  Finished 1933 / 1933
auto-process175  Finished 1547 / 1547
auto-process176  Finished 1105 / 1105
auto-process177  Finished 1052 / 1052
auto-process178  Finished 1236 / 1236
auto-process179  Finished 1282 / 1282
auto-process180  Finished 1531 / 1531
auto-process181  Finished 1780 / 1780
auto-process182  Finished 1516 / 1516
auto-process183  Finished 1193 / 1193
auto-process184  Finished 1870 / 1870
auto-process185  Finished 1738 / 1738
auto-process186  Finished 1494 / 1494
auto-process187  Finished 1707 / 1707
auto-process188  Finished 1437 / 1437
auto-process189  Finished 1186 / 1186
